date,value
2005-01-01,0.38
2005-02-01,0.45
2005-03-01,-0.15
2005-04-01,0.5
2005-05-01,0.08
2005-06-01,0.44
2005-07-01,0.07
2005-08-01,0.17
2005-09-01,-0.85
2005-10-01,0.91
2005-11-01,0.9
2005-12-01,0.42
2006-01-01,0.65
2006-02-01,0.17
2006-03-01,0.37
2006-04-01,0.03
2006-05-01,-0.21
2006-06-01,0.04
2006-07-01,-0.22
2006-08-01,0.03
2006-09-01,-0.18
2006-10-01,-0.33
2006-11-01,-0.23
2006-12-01,0.89
2007-01-01,-0.69
2007-02-01,0.29
2007-03-01,0.23
2007-04-01,-0.12
2007-05-01,-0.14
2007-06-01,-0.31
2007-07-01,-0.42
2007-08-01,-0.57
2007-09-01,-0.17
2007-10-01,-0.73
2007-11-01,-0.06
2007-12-01,-0.58
2008-01-01,-0.5
2008-02-01,-1.15
2008-03-01,-1.14
2008-04-01,-1.28
2008-05-01,-1.35
2008-06-01,-1.28
2008-07-01,-1.74
2008-08-01,-2.27
2008-09-01,-3.47
2008-10-01,-1.85
2008-11-01,-3.26
2008-12-01,-3.85
2009-01-01,-4.34
2009-02-01,-2.07
2009-03-01,-3.47
2009-04-01,-2.53
2009-05-01,-2.24
2009-06-01,-1.72
2009-07-01,-0.27
2009-08-01,-0.65
2009-09-01,-0.55
2009-10-01,-0.81
2009-11-01,-0.15
2009-12-01,-0.34
2010-01-01,0.04
2010-02-01,-0.39
2010-03-01,0.49
2010-04-01,0.34
2010-05-01,0.1
2010-06-01,-0.54
2010-07-01,0.2
2010-08-01,-0.53
2010-09-01,-0.31
2010-10-01,-0.36
2010-11-01,-0.2
2010-12-01,0.45
2011-01-01,0.17
2011-02-01,-0.23
2011-03-01,0.32
2011-04-01,-0.45
2011-05-01,-0.37
2011-06-01,-0.46
2011-07-01,-0.06
2011-08-01,-0.43
2011-09-01,-0.22
2011-10-01,-0.13
2011-11-01,-0.37
2011-12-01,0.17
2012-01-01,0.22
2012-02-01,-0.09
2012-03-01,-0.29
2012-04-01,0.11
2012-05-01,-0.45
2012-06-01,-0.15
2012-07-01,-0.13
2012-08-01,-0.87
2012-09-01,0.0
2012-10-01,-0.56
2012-11-01,0.1
2012-12-01,0.02
2013-01-01,-0.32
2013-02-01,0.44
2013-03-01,-0.23
2013-04-01,-0.53
2013-05-01,-0.3
2013-06-01,-0.13
2013-07-01,-0.15
2013-08-01,0.14
2013-09-01,0.14
2013-10-01,-0.18
2013-11-01,0.6
2013-12-01,0.16
2014-01-01,-0.39
2014-02-01,0.14
2014-03-01,0.2
2014-04-01,-0.32
2014-05-01,0.21
2014-06-01,0.12
2014-07-01,0.39
