,0
2005-01-01,0.26127
2005-02-01,0.1106
2005-03-01,0.28851
2005-04-01,0.51126
2005-05-01,0.46083
2005-06-01,0.36583
2005-07-01,0.2365
2005-08-01,0.34252
2005-09-01,0.28744
2005-10-01,0.27243
2005-11-01,0.10356
2005-12-01,0.2798
2006-01-01,0.39768
2006-02-01,0.05057
2006-03-01,0.13958
2006-04-01,0.24338
2006-05-01,0.36913
2006-06-01,0.11395
2006-07-01,0.17287
2006-08-01,0.33504
2006-09-01,0.34501
2006-10-01,0.14396
2006-11-01,0.2627
2006-12-01,0.37621
2007-01-01,0.22553
2007-02-01,0.25404
2007-03-01,0.64355
2007-04-01,0.58589
2007-05-01,0.27342
2007-06-01,0.41938
2007-07-01,0.10333
2007-08-01,0.93733
2007-09-01,0.50047
2007-10-01,0.29289
2007-11-01,0.33594
2007-12-01,0.36001
2008-01-01,0.47989
2008-02-01,0.4632
2008-03-01,0.23716
2008-04-01,0.14045
2008-05-01,0.18976
2008-06-01,0.0443
2008-07-01,0.22541
2008-08-01,0.18307
2008-09-01,0.18676
2008-10-01,0.36627
2008-11-01,0.30058
2008-12-01,0.17817
2009-01-01,0.17876
2009-02-01,0.1925
2009-03-01,0.17958
2009-04-01,0.27625
2009-05-01,0.11837
2009-06-01,0.0
2009-07-01,0.10949
2009-08-01,0.10952
2009-09-01,0.20979
2009-10-01,0.31943
2009-11-01,0.11493
2009-12-01,0.20215
2010-01-01,0.35236
2010-02-01,0.05547
2010-03-01,0.05365
2010-04-01,0.05695
2010-05-01,0.55079
2010-06-01,0.3409
2010-07-01,0.28986
2010-08-01,0.31893
2010-09-01,0.15589
2010-10-01,0.09925
2010-11-01,0.51183
2010-12-01,0.43904
2011-01-01,0.34358
2011-02-01,0.21823
2011-03-01,0.11747
2011-04-01,0.22166
2011-05-01,0.23767
2011-06-01,0.11851
2011-07-01,0.33523
2011-08-01,1.36789
2011-09-01,0.38065
2011-10-01,0.48082
2011-11-01,0.18169
2011-12-01,0.13511
2012-01-01,0.60438
2012-02-01,0.21354
2012-03-01,0.48967
2012-04-01,0.11767
2012-05-01,0.1337
2012-06-01,0.41068
2012-07-01,0.58809
2012-08-01,0.30882
2012-09-01,0.0
2012-10-01,0.1119
2012-11-01,0.54412
2012-12-01,0.40792
2013-01-01,0.72831
2013-02-01,0.19654
2013-03-01,0.21899
2013-04-01,0.25229
2013-05-01,0.0994
2013-06-01,0.24405
2013-07-01,0.41934
2013-08-01,0.05156
2013-09-01,0.4001
2013-10-01,1.0034
2013-11-01,0.39647
2013-12-01,0.1708
2014-01-01,0.34287
2014-02-01,0.26646
2014-03-01,0.11911
2014-04-01,0.30609
2014-05-01,0.11696
2014-06-01,0.54557
2014-07-01,0.17867
2014-08-01,0.05561
2014-09-01,0.0
2014-10-01,0.12185
2014-11-01,0.12866
2014-12-01,0.06081
2015-01-01,0.74402
2015-02-01,0.12186
2015-03-01,0.11623
2015-04-01,0.0
2015-05-01,0.29142
2015-06-01,0.11662
2015-07-01,0.21427
2015-08-01,1.23444
2015-09-01,0.29327
2015-10-01,0.13184
2015-11-01,0.21094
2015-12-01,0.22347
2016-01-01,0.50688
2016-02-01,0.9174
2016-03-01,0.34453
2016-04-01,0.29223
2016-05-01,0.29125
2016-06-01,0.38359
2016-07-01,0.44788
2016-08-01,0.30714
2016-09-01,0.0
2016-10-01,0.29737
2016-11-01,0.11478
2016-12-01,0.69831
2017-01-01,0.41486
2017-02-01,0.44212
2017-03-01,0.6651
2017-04-01,0.35497
2017-05-01,0.38684
2017-06-01,0.0
2017-07-01,0.2208
2017-08-01,0.47176
2017-09-01,0.17242
2017-10-01,0.08946
